Score;Summary;Text
1;Ghastly;That word sums it up, but I'll add two more:  bland and bricklike. The nicest thing I can say about this bread is that it has a decent crust when it first comes out of the oven.
5;Gin Gins the Powerful Little Treat;"These little treats pack a powerful punch.  The ""peppery"" taste is just the beginning."
5;Petite Cuisine Red Snapper;When I first purchased this product I wasn't sure my cats would like it.  However, I quickly discovered that they do.
5;Makes Great Cotton Candy!;If you purchase a cotton candy maker for home you MUST purchase Cotton Candy Express candy sugar. The flavors are great and the floss sugar makes making cotton candy SO much easier.
5;Time for tea!;This tea is lovely for a refreshing iced tea, a comforting hot tea or mixed into a light Sangria.  'Hard to find, but worth the effort.
5;Delicious!!!!;Totally DEEEEElicious!!!  Love Flipz.  Especially from Amazon.
4;great for cooking too;though this salt is ideally as finishing salt, but i use it for marinating chinese dishes and its still fab, esp on fish and seafood dishes which enhances the unique favor of seafoods itself.<br /><br />Paying a bit more can definitely see the difference!  will keep using it.
5;Great nutrition that kittens love!;Even after being a vegetarian for over a decade now, this food actually smelled and looked pretty good -- especially considering that it's canned cat food.  Unfortunately, I think my kittens may be eating better than I am now.
5;YUUUMMMMYY;I received a pouch of this as a gift and made it for my family one day -- it is so delicious and everyone loved it.  And then, of course, they wanted me to make it again.
5;Yum!;These are delicious! Both of my gluten free kids love them. My only complaint is that they are a little expensive.
5;Awesome Pho;I've been trying to make beef Pho at home for several months now with zero success. I finally did some extra searching when looking for some type of Pho base and found this.
5;Surprisingly excellent;I've been subscribing to Newman's organic raisins, but I decided to try these, as they are a less expensive. I prefer these raisins now.
5;Great product;I have tried many different brands of coconut oil, and my kids like this the best, I found even better price on iherb.com, use LOV684 to get $5 off your first order.
4;Healthy treat?;"It's a pretty big bag- it'll probably last me a while since I don't give out treats too often. Little meaty bits look tasty and less ""processed"" than the grocery brands, which I really like."
5;I love Jet Fuel!;When I invite my family and friends a cup of coffee, they always ask for more, even when they are not heavy coffee drinkers.  They all like Jet Fuel as much as I do.
2;Not good enough;I cringed a little after reading the ingredient list. Way too much grains and not enough quality protein for our dogs.
5;Great for what I needed it for!;I use this for my breakfast shakes in the morning.  It adds peanut taste and protein without the fat!  I have also hydrated it and had it on toast and it is pretty good but I do miss the oil consistency a little bit.
1;What a waste of money!;This is my first review ever.  After seeing the price charged, I felt I had to let people know what to expect for their $39.
2;Love Kettle Chips, but not this flavor!;I was really looking forward to trying these chips since I love cheese but I was SUPER DISAPPOINTED! I am a big fan of Kettle Chips but these tasted somewhat stale and almost plain! They are supposed to have a cheddar taste but you cannot taste any of that..
4;good tasting;It was hard for me to find good tasting whole bean decaf coffee.  This coffee works for me.
1;no longer tasty;I hadn't had a whatchamacallit in a few years but there was a time when it was tasty. The manufacturer has changed the recipe and there is no longer any taste of peanut butter, the caramel flavor is gone too and of course, Americans haven't had access to real chocolate flavor in years.
5;Sweet;Came quickly.<br /><br />I used it for the first time in baking and it has a nice sweet flavor.
3;Too Strong;I ordered light roast coffee and was sent one box of light roast and one box of extra bold.  I didn't notice the error until I had used a couple of the extra bold pods.
4;Pretty nice;The product consists of an approximately 10 inch (25 cm) long piece of meat with 1 or 2 smaller (approx 1 1/2-2 inches, 3-5 cm) pieces thrown in.  The meat is about 1/4 inch (6-7 mm) thick and comes in a fairly easy, peel open package.
5;Pop Chips are great;Popchips are great. I got the barbeque in the single serving, 100 calorie size.
5;Can't do coffee;Red Bull is an acquired taste.  But when you get used to it it works better than coffee to keep your alert and energetic.
5;Slippery Stuff;Recommended by a Physical Therapist and Urology Nurse Practitioner. Non-greasy, a little goes a long way.
1;Ridiculously, immorally expensive dog treat;I could not believe my eyes when the dog treats arrived.  I had not checked how much my $12 would buy, but there was 3 oz!!!!  That brings the price per pound to over $60.
1;Undrinkable;Wow, this stuff is nasty. I'm glad I only ordered one box.
5;A Surprisingly Refreshing Gift!;I received this as a gift from the company and, of course, immediately sniffed and tasted it.<br /><br />A friend of ours gave us a soda stream machine because he was tired of it.
5;Great product;"This tuna product gives any tuna recipe a ""kick"" that takes away the same-old taste of tuna. I use a can of this mix per each packet of regular tuna for tuna salads and casseroles."
1;False advertising;I agree with Paul.  I had a sick cat and was looking for a deal online.
5;great heat and great pour spout on top;Not only does this sauce have a great taste. But they have a small enough pour spout on top to allow you to pour small drops on your food, if your careful, or pour a lot.
4;Satisified;My wife is very happy with this product. She takes it , I do not.
5;Good quality pug food, best price anywhere;My pug is thriving on Pug 25, and the price here is so much better than buying at my local pet megastore..
1;Disappointed;"I was hesitant to purchase this product after reading other reviews about them not being ""thick"".  But, since I couldn't find any other thick bully sticks on here, I thought I'd give them a shot."
5;Candy;Received this purchased boxed of 5lbs of candy within just a few days or ordering it on-line.<br />The price was exceptional compared to THE VERMONT STORE.
5;Small is HUGE - but Pomeranians loved it!;My husband and I were shocked at how large this bone was!  It was full of peanut butter and my two Pomeranians loved it!  They weren't able to carry it around because it is too large.  They had to sit on the bed and lick at the peanut butter center.
1;1 star;"<a href=""http://www.amazon."
5;Great quality Raspberry Leaf;I trust Alvita's brand because all of the teas I have tried from them are pure and excellent quality. The Raspberry leaf is no exception.
5;Great for frozen mochas;My wife loves this.  Here is our recipe:<br />In a blender we add<br />1 Cup skim milk<br />1 Cup Ice<br />3 rounded teaspoons Cafe D'Vita SF Mocha mix<br />1 oz cofee liquor<br /><br />Great stuff.
5;Gingerbread House Kit is a Big Success with Grandkids!;Reasonably priced, excellent quality merchandise as you usually provide.  Speed in delivery, no problem with availability of product or delivery.
5;Perfect;Fast shipping and great taste. i would recommend this to any one, i love this cereal yum.
5;Healthy Eating for your Pet;This food is the best.  My dog has been eating Blue Buffalo for 4 of his 5 years.
5;My favorite;I tried Millstone Coffee about 5 years ago and I've been hooked every since. The best coffee that I've ever had.
5;Intense Tart flavor with great nutrition - Kopali is best brand of goldenberry;"I love the powerful tart punch of Goldenberry as well as their great nutrition.  These are much more flavorful and moist the <a href=""http://www."
3;Tart and refreshing if...;I've had time to go through most of the case of this product, and I give it a slightly positive overall review.  The pros: small size can holds just the right amount of this different beveridge, and fits easily in the hand
5;Great Salsa;Enjoying it, first had in Seattle at family home.  Not too spicy, goes with a variety of food types.
5;Oh yes.  This is the stuff!;Jack Link's Beef Jerky, Peppered, Mega Pack, two 10-Ounce Packages.  Arrived today and this is what I was after.
5;It's not pasta night without it.;I honestly can eat this on its own with a little sea salt and olive oil. Cooks super fast so anyone who's thinking of using it make sure you're watching it, it takes 3 minutes tops to cook.
1;Coffee Pods Do Not Work;Purchased two boxes of these coffee pods and have used 10 of the 48.  The pods do not work correctly in my Keurig.
2;Gave my cat loose stools;I was excited to find this at my local pet store for my cat who has allergies.  Her allergies would cause her to scratch at her head and ears until she had sores that would become infected.
5;Toothsaver;My elderly Pomeranian LOVES these Senior Greenies (even more than regular greenies) and absolutely never lets us forget this 4 o'clock daily treat (I never have been able to fully understand how dogs tell time, but we all know they are VERY good at it--and surprisingly accurate).<br /><br />These are a little bit softer than regular greenies & they contain both chondroitin (sp?) and glucosamine for joint support.
5;Great stuff! Has multiple uses!;I bought this recently to add to my homemade laundry detergent powder so I could eliminate the need for a vinegar rinse. I love making my own detergent
5;Treats for Food Issues Dog;My dog cannot have any food with grains that include corn, wheat, barley, oats, rice (brown and white). The only meat he can tolerate is lamb.
4;FIJI Water 16.9 ounce bottle review;I had seen FIJI water around before and never thought much of it. I always felt that water was water and thought it was all made the same and tasted the same.
4;My dog loves these treats!!;I have a golden retriever who loves these treats and they are a good chewing alternative since she has started having some anxiety when left alone.  They last longer when placed in the treat balls but it can be a pain to get them into the ball so I have given them outside the ball as well.
5;Great for winter !;I love a cup of Hot Choc. in the cold winter months.
5;No doubt, it's nifty;I did not read the reviews about this carousel until after I purchased it, so I was rather dubious by the time it arrived at my house. However, sice placing it into operation, I have found it to be mechanically sound as well as an astetically pleasing addition to my kitchen countertop.
5;Loved these;Really tasty. Unusual and good flavor.
5;Good K Cup Coffee;Green mountain makes pretty good coffee, this is my favorite out of the lineup. I usually have a couple of these a day while im at work love em.
5;Great Rub for Pork and Chicken;I have made my own rubs for a long time and have tried dozens to get different flavor profiles. Once I tasted this rub, the search was over.
3;MORE APPROPRIATE NAME WOULD BE 30 MINUS 1 K-KUP;I was excited to place my order in hopes of getting exactly what I ordered, however I received 29 k-kups rather than the advertised 30 k-kups.  This was disappointing as the missing k-kup was a hot chocolate for when my niece comes to visit.
4;"Great ""Soft baked"" texture.";"The folks at Quaker really got the soft texture here, and the individual packages keep the cookies very soft and fresh.<br /><br />I would have liked more raisins, I couldn't hear ""it thru the grapevine""."
4;Good Product;Not necessarily heavy duty but seems like a good product.  Happy with it as it serves purpose of being able to leave the door open for a few minutes and keeping the bugs, etc out.
5;Delicious;We couldn't have been more pleased with this purchase. The shrimp was well packed and arrived perfectly frozen.
5;Great Bread;I used this to make bread in my bread machine.  At last a gluten-free loaf of bread that does not crumble!  This bread is more like wheat bread than any other mix or recipe that I have tried.
2;Great texture, bad taste.;It is interesting to me how many great reviews this product got, as I was not satisfied much.  Granted, this is the first gluten-free bread I have made, so I do not have any gluten-free breads to compare it to, but compared to regular wheat bread it is bizarre, and it taste nothing like the homemade bread I am used to.
3;Unsure of the flavor;I was sold on this product as it was Organic and Raw, it's pretty good, smells great.<br /><br />I have only used it in a few raw food recipes such as ice cream, but I can almost taste an aftertaste which I can't pin point exactly if it's the oil, but I have only noticed it when using this oil in my recipes.
1;Bad Batch?;I had high hopes for these fruit leathers as my daughter loves them.  When we received them in the mail and I opened the box they were all a very brown color, they look nothing like the red color in the picture shown.
5;Twinings English Breakfast black tea;Twinings never disappoints. Of all the higher end black teas, I prefer Twinings and Tazo.
4;Smooth, but not very vanilla;I don't drink coffee often, but when I do it must be mild to medium roast and very smooooth.  I don't like bold roasts or most flavored coffees.
5;happy;I love these packs. They are delicious and easy to throw in a diaper bag or my kids lunch in the morning.
5;Great Food;I love this food and so do my dogs! High quality and great nutritional value is what first attracted me to it and my dogs love it too. I have always fed my pups high quality dog food so I can't say that their coats look better or that they have more energy than before I was feeding this brand but I can say that they are healthy and do have beautiful coats and a ton of energy :)<br /><br />Taste of the Wild just came out with a canned version of this item which I just recently tried and was VERY impressed with.
1;Pucker up, these mussels taste sharp!;The sauce these mussels are in is awful.  It is very ascerbic (tangy/bitter).
5;Favorite Breakfast!;I also have this for breakfast every morning.  When I first started eating it, it seemed bland compared to the normal variety, but now the normal variety seems way too sweet.
1;Worse than worthless;A complete waste. Cost was $51.
5;Good for you .;"I sprout these using an <a href=""http://www.amazon."
5;Delicious snack;These are about $1.50 to $2.
5;GREAT CEREAL;This cereal is very hard to find!  Glad that I was able to order it on amazon.com.
5;Fantastic Pet Food!;I purchased Dancing Cat after speaking with a friend who had been using their Laughing Dog Brave Dog Formula for her dog. My rescue cat had experienced several bouts of weight loss and lethargy and the vet could not determine what was causing it.
4;Nice change of pace;Do you love hamburgers? Do you feel guilty about the fat and cholesterol of beef patties? Here's a suggestion--try bison burgers.<br /><br />More and more farmers are raising bison for their meat.
1;$5.66 for a can of beans..lol .. don't think so.;I was curiose to see how much it was actualy be to buy from amazon v. the local grocery retailor.
1;0 Stars isn't an option;These are SO cute.  I really wanted this to work with my new potato bag from Orka.
5;One of the Best Mild K-cups Made;I have at least 4 dozen different k-cups at my house right now because we love to experiment with different flavors.  My favorite is Timothy's Rainforest Espresso because I like a bold coffee.
4;SEA SALT SOMERSAULTS;I received these to give my unbiased opinion.  I liked the amount of crunchiness and the flavor of the nuttiness of the crackers,but they were a bit too salty for my taste.
5;amazing!....;I purchased this item a month ago and i drink a cup morning and night. I love it! I drink it with clover honey.
5;Undergebrg bitters;Fast delivery! Thank you. I've always been curious about those tiny paper-wrapped bottles and, upon reading Parsons's Bitters, was encouraged to try.
5;Dog Treats;My dogs love these treats.  They beg for them and sometimes I sprinkle these treats on top of their food for a special treat.
5;Robert's American Gourmet Smart Puffs;This is tasty snack food.  Would definitely purchase again.
5;Very very good coffee;"I had never of this source but the reviews (positive) are right and this coffee is a ""keeper"". The coffee is bold are really a ""kick a__"" blend at a good price for K-cup coffee."
5;AWESOME gift for bartenders, chefs, and bakers;My mom got me this set as a stocking-stuffer for me and it's the best gift ever!! These oils are incredible.<br /><br />I fancy myself a home bartender and like mixing up different drinks.
5;Highly Recommended!;Innova Evo Cat and Kitten food is one of the best wet foods on the market without question. Both of my cats love the taste of this product.
5;Pricing;I can not understand the change in pricing in 30 days. My first purchase of 60 tabs was 34.
5;Best Tastin;This is the best tasting sugar free shortbread cookie ever. Doesn't even taste sugar free.
4;Great Popcorn!;We bought this popcorn to go with a machine we had purchased, and the machine ended up not working.  So we took these portion packs of popcorn and used them on the stove top.
5;Husband Stealing My GF Cereal!!;I was diagnosed with an allergy to gluten a little over a year ago and it has been challenging and frustrating to find a tasty cereal, most are very bland and I ended up adding my own nuts, fruit etc. to them.
5;MY 18-MONTH OLD MALTY-POO LOVES THIS;I've had my malty-poo, Chloe since she was 5-weeks (don't get me started on that..
5;One of the best Chipotle sauces I have tasted;I saw this at my local grocer one day and bought it on a whim.  I did not hold out high hopes but this stuff gave me a very pleasant surprise!<br /><br />The smoky flavor of chipotles is the main star in this sauce of course, and has a lovely tangy/sweet balance.
5;Great product;I bought this to use for canning blueberry pie filling. It works great!! Will definately be using this for all of my pie fillings from now on.
5;CALM Plus Calcium is great!;Only way I have found to take Calcium without nausea.  It has also helped me to sleep better at night.
4;Great Taste and Value;This Pure Natural Bar, Peanut and Raisin Crunch, is a tasty and fulfilling bang for your buck. The 2 key components to making this bar a treat you'll want to eat are the ingredients and the taste.
4;Tasty;I have to say, I really like this chip.<br /><br />It's a bit thinner than the flaxseed tortilla chips I normally buy at Trader Joe's, and the flavor is nuttier.
5;The best herbal mint tea;I drink lots of mint tea in the evening, helps calm my digestion. I've tried many, and this one's the best.
4;VERY FRESH PEANUTS THOUGH AN EXPENSIVE WAY TO BUY THEM;IN A NUTSHELL: EACH PACKAGE CONTAINED 2 OZ. OF FRESH PEANUTS OR CASHEWS<br /><br />These 2 oz.
5;Great taste.;This tastes great.  I love peanut butter, but not all the fat.
5;Blue Diamond Almonds Habanero BBQ;I love the product, they have great taste, easy to order and we did not have a long wait time to recieve them. I will order again.
2;My golden won't touch these treats;These treats may be great for some dogs, but my golden did not like the taste.  I had hoped to use them as small training treats (such as the BilJac liver treats), but she would have nothing to do with either the peanut butter or the salmon flavor.
5;Love this Gadget;I like the natural nut butters, and I store them in the fridge.  Didn't want to microwave them, tho, so I now store them upside down, set the jar in warm water for a bit and crank away.
5;keep these in your pantry;I keep these in my pantry at all times. They make a great quick lunch.
5;Great!;We have a black female lab. And since she was little she would not eat anything but pedigree and as long as shd was fine we gave it to her.
1;Buyer Beware if sensitive to ingredients Maltitol, Sorbitol, Mannitol!;This gum has Maltitol in it which can cause gastric distress to people sensitive to this ingredient.  It also has Mannitol and Sorbitol, these are all within the first 4 ingredients of the gum!  Be careful if you are sensitive to these sweetener replacements.
5;Yogi Egyptian Licorice Tea;My daughter & I both love licorice tea.  This particular tea has a wonderful strong black licorice flavor, we often drink it after meals as a spicy-sweet, no calorie dessert! It does carry a warning not to use if pregnant or nursing.
5;Overpriced Teddie;as a former resident of massachusetts & city of everett employee, where teddie was roasted, & even in the dead of winter where its delightful aroma wafted lazily over its surroundings, i was delighted to note that amazon is offering teddie peanut butter for sale. but why,oh why is amazon making it so pricey? in the most select of new york city's premium grocery stores, similar pound bottles of peanut butter, such as smuckers (i.
3;Extra Energy? Where?;As a new mom, I could use some extra energy and when I saw this, I thought it would be perfect for me. One of the pros is that it has lots of B vitamins in it with no sugar, carbs, or calories so you can use it even when dieting and it's not unhealthy for you like all those sugared up energy drinks like Red Bull.
5;Awesome gift....;My daughter-in-law bought this tea at Heathrow airport on her first visit to England.  She loves the strawberry tea.
3;The seeds that do not grow.;"I bought these seeds and am experienced at growing gardens.  Only a handful of seeds germinated and of those two managed to grow into plants that I have ""babied."
4;Pretzel sticks;This has become a favorite go-to snack for my husband.  Has a wonderful bite of heat.
1;Not so sure because;I hope this may help others whose dogs love this treat like my fussy Lhasa Apso but she's nearly 16 yrs. old and I found she suddenly developed an insatiable thirst
5;Great afternoon snack!;This makes a quick, low calorie, low fat savory snack. I emailed the company and they verified it was vegetarian, which makes it one of the few options for an instant soup I have.
5;Yum-o!;I really liked these cherries.  They are sweet-- but not too sweet.
5;Green Energy;I have tried a couple of different yerba mate teas and this is by far my favorite. It consists only of freshly dried yerba mate leaves and nothing else-no additives, no artifical or natural sweeteners.
4;Fresh and flavorful;I am very pleased with the Bergin (Roasted, No Salt) Sunflower seeds.  They've got a nice flavor and really, you don't miss the salt.
4;Great price Quick shipping;This company is a pleasure to deal with. Customer Service was a joy.
5;Great Product !!!;This powder truly is super !! I drink it alone with soy milk or add to a smoothie. Amazon has the best price, and if you have it delivered monthly you save even more.
5;Coconut water;I absolutely love this coconut water. Amazing taste 100% pure.
5;Great poptarts;I discovered these poptarts quite by accident.  And since my family really loves all things pumpkin and ginderbread, I ordered them.
4;Delicious;I know this coconut water is from concentrate but I still really like the taste.  Something about it really appeals to me and I can't quite figure out what, other than perhaps it's not as sweet as some other brands.
5;A delicious 'tonic-like' tea;I was introduced to this tea at a local restaurant and went absolutely crazy about it. Its unique flavor and healthifying blend of green and black teas and yerba mate, along with a light touch of ginger, is a wonderful thirst quencher.
5;Wonderful stuff;I am so pleased with this product, my cut flowers don't wilt and now last for weeks. I have large red roses that are 2 weeks old with no drooping heads or browning.
5;Excellent product;I was advised to use this power bar in my diet and I can't believe how good it is! I have tried many brands and I do have to say this is one of the best I ever tried. I would highly recommend this product to anyone.
5;Delicious;We love Quinoa but it is hard to find where we live.  Just make sure to rinse them extremely well - especially if using for the baby.
5;Great stuff!;I've been using this product for the past few months and I've seen a difference in my health. It makes me more calm in stressful situations and it keeps me regular.
5;My sons FAVORITE!;My son has celiac disease and gluten free food just isnt that good. These, however, are GREAT! He uses these in place of a sandwich for his school lunches and LOVES them.
3;What I noticed was the smell;I'm sorry
5;Quite tasty!;I tasted a few of these and they are pretty good.  I was expecting something a bit flavorless and I can imagine happily snacking on these for a multi-day packing hike.
5;I love these shells!;These shells are delicious!  And so easy to prepare.<br /><br />One of the big problems in my GF life is how long it takes to get/make foods that taste like the 'real' thing.
3;Tastes good but not sure what to do with powdered granola.;Pros: I appreciate that these grains are healthy and high in fiber.  It's also good that they are all natural, gluten-free, without GMO.
5;best millet yet!;I use cooked millet to supplement a special diet for my dogs.  This stuff looked so good I didn't hesitate to taste it myself and was surprised to find it had a pleasant taste & texture.
5;Priced Right and Palatable;First let me say that I wish I could tolerate apple juices that taste more like cider.  I can't
5;This is Good Stuff!;I've always liked tomato-based sauces on my foods. Ketchup, seafood cocktail sauce, chile sauce and salsa are all in my cabinets.
5;Energy for mornings at the gym;This bread is our favorite breakfast for workout mornings.  We each have one slice topped with peanut butter and sliced banana.
5;Just love this stuff;I use Royal Blend as the only rice product here in the house.  I love the nutty flavor.
2;Dry. No matter how it was prepared, dry, course, lumpy, clumpy;Very dry, difficult to find that happy-place with this product.<br />I grew up in a Greek restaurant, I know food.
3;Nice, but a little too much licorice;I made a cup of this tea using a 1/2 tsp of honey and steeped it mildly (light yellow color). The first half of the cup was very nice, although I didn't taste much ginger.
4;Excellent papers.;Excellent papers. Very thin but strong.
5;Tastes like old fashioned popcorn;I am delighted with my new Pop's corn.  I eat a bag of popcorn just about every day at work because it's only 2 weight watcher's points and it takes a long time to eat, and is relatively healthy.
3;It's okay but too sweet and a little gelatinous;I have been able to find a few uses for this product, mostly to make a very sweet cup of hot cocoa but as much as I love sweets even I can only drink one mug.  Also, there is something in the powder that renders the resulting liquid sort of thick, more like gelatinous.
2;Only flavor I did not like at all;I like all of the flavors to a degree, except this one.  It's really salty and the combination of flavors isn't good.
5;Very Satisfied with this dog food;Our dog kept shedding really bad so we switched to this food and it has basically stopped her shedding!  We love the price of it since we have a large dog and go thru a bag a month.  We will recommend this dog food to others.
5;Licoricaliscious;"<a href=""http://www.amazon."
5;Great!;This is great for use as a base for gravy, soups, pot roast. I'm so happy to have found it here, as it can be hard to find in grocery stores.
5;Don't tell mom we know her secret;Im from western PA and everytime I go home to visit my family I stop at Primanti Brothers and Delallos. Bout time you get some more of their products on here cause  shipping with my family or their site is killing me.
5;Excellent product;Sunbutter has become the new grocery staple for me.  I developed a peanut allergy at the age of 25, having eaten peanut butter al my life.
5;Best dog treats;I have a 2 1/2 year old black lab and these are her favorite treats! They are the best for training, my dog will do just about anything to get one of these treats. Even my 3 month old black lab puppy goes running to his kennel when I tell him to go to bed because he knows that a liver treat is coming his way.
5;Great dog food... A little expensive;Ingredient wise..
5;Sensational  not-too-sweet cookies;They're somewhat fragile and almost too big to consume in a single bite (I'm a full-grown man) but the flavor and texture are terrific, sweet without being too sweet, crunchy and chewy at the same time. Really good.
4;Wolfgang's Hazlenut;"This one is my wife's favorite of all the Hazlenut blends she has tried. This is her ""go to"" after a busy day of being retired."
5;great for dogs with grain allergies;Rescued Pom/Chi mix Mr. Peanut seems to have allergies to all grains except oats.
5;Jane's Krazy Mixed Up Salt;Have used this salt for many many years and everyone just loves it.  Also put it in gift baskets for friends and family.
5;vita coco;The pineapple coconut combination is refreshing. I especially like that there is no added sugar.
3;Lackluster  pseudo-Indian tea;My friend shared Indian tea with me, which was THE  BEST, smooth, quickly brewing tea, I have ever had. This lacks what I expected.
5;Excellent service and product;The transaction was effortless and the delivery was exactly as promised. The Loma Linda Swiss Stakes are delicious, with really tasty gravy.
5;Best tea I've found.;I'm a former coffee drinker and I'm always looking for that cup of tea that will satisfy my craving for something dark and roasty.  The tea itself brews up dark, and the slight chocolate essence makes it a richer cup.
5;True Boysenberry Flavor - The Best Fruit There Is;You know, I've been blessed to live in regions where I was able to have all kinds of wonderful fresh fruits, even very exotic varieties.  And of course I've had non-local fruits, including obscure faddish ones.
5;A staple in my house;Now, this is a cheapo sauce - kinda like cheapo wine I would drink with every dinner. So don't expect crazy and exciting bursts of flavor here! However, it gets 5 stars from me for the combination of the solid flavor profile (earthy, subtly umami, not at all sweet, easy on salt) and the incredible price.
3;Ok after some tweeking;Our family loves the kraft velveeta cheese noodles so I thought this would be a hit.  Well not so much.
5;Delicious and Healthy;During a recent trip to Ireland, I got to try Muesli.  I had no idea what it was when I first had it, but then when I got back to the states I was so disappointed that I couldn't find anything like what I had.
3;Good, but not as good as I expected;These are way better than rancid grocery story peanuts, but they weren't as good or as fresh as I'd hoped. I imagine that they'd been stored too long at amazon before being shipped.
5;Loved em!;I bought these gummies recently and they were SO good I had to write a review on them! (even though I hardly ever leave reviews). I found the taste and texture to be PERFECT and the packaging on the box is really cute.
4;Sunflower seeds at Amazon;These were basic sunflower seeds, they taste good and after a couple of bags I haven't found any bad nuts so far. I appreciate being able to buy in quantity for a reasonable price and that they are packed in 16-oz.
1;Horrible!;This is bad coconut milk. It has guar gum which mixes the cream and liquid.
2;Tropicana Pasty Film Taste;Combined with Vitamin D, this brand leaves me with a 'pasty' film on my tongue. It also lacks that 'fresh squeezed' taste that I prefer.
5;Only 10 Calories!;I really LIKE RED BULL, but at 150 calories a can - there was no way that I could have it very often.  I had looked at Costco and other places for the Sugarfree RED BULL to buy in bulk and they didn't carry it.
4;good but not fantastic;these are good but not fantastic. Also do not order in hot weather as the chocolate will melt.
5;Dog loves em;My Corgi absolutely loves Canidae Platinum. He has chronic urinary tract stones, bad kidneys, so he is on a special diet.
5;Heavenly Nectar;This product is positively wonderful!  Use it anywhere you might use ordinary balsamic, but use it sparingly as it packs a very fruity punch.  Apply just a bit to some fresh berries and pour it over vanilla ice cream for a fantastic desert treat.
1;Worst K-Cup yet - And I am easy to please!;I wanted a nice hot cup of cider. I forced myself to choke down the first cup I tried.
4;Zuke's is good food.;Got my order quickly. It's difficult to find chicken free food and treats and these were a good price.
5;GREAT PRODUCT!!;It has always been a nightmare to give medicine to my dog.  She is now 11 years old and has heart problems and has to take several meds a day.
5;Best Vegan Body Lotion;My favorite vegan body lotion for soft skin and wonderful fragrance..
2;It's taco seasoning + mayo;I've had a couple really good sandwiches at local restaurants lately with chipotle mayo so I was excited to try Kraft's product.  Very disappointing, it is not a pure spicy mayo, it tastes like just a mix of Ortego taco seasoning mixed in mayo.
5;Love it!;I tried this product because I am TRYING to eliminate the white stuff from my diet and as a southerner, I love grits (well, hot cereal to the rest of y'all).  I was pleasantly surprised at how good this is on it's own merits.
5;Great value, distinctive packaging, beautiful presentation;"I know the reaction of some people upon receiving this gift might be, ""oh, gee -- a tea collection"", but then they brew it up and see the flowers bloom in the clear glass pot.  The reaction of surprise and delight makes it worth the very modest price."
1;"All Mighty Leaf ""silken"" tea bags are made of corn!";I ordered 12 boxes of Mighty Leaf tea, after trying it a restaurant. The tea is delicious, but I have to give a one star review because the product description is misleading.
4;Good treat;My pup enjoys everlasting treats in or out of an everlasting treat ball. I decided to try the everlocking treat as something different, but it wasn't significantly different when used in the treat ball, and she ate the ends off the stick immediately.
5;Yummy;Very delicious coffee, however these little cups are extremely overpriced. Actually it's price gouging in my opinion, but got to have them to drink the coffee.
5;Delicious coffee - much better than instant;I go camping in a cabin that has no electric, but a wood cook stove.  Boiling water is not a problem, but a coffee pot is.
5;Healthy treats;We buy these by the case for our dogs.  They are a healthy treat and the dogs love them.
4;Added water;I am a strong believer in giving my baby organic foods as much as possible. We used many of the Earth's Best flavors and baby really enjoyed most of them.
5;great toddler snack;I have been buying these for about a year now for my 2 boys now 2 and 4yo.  These are a great on the go snack that a mom can feel good about serving up.
5;Fantastically disgusting;These things actually taste like they are described. My girl was so fascinated at the idea of being able to eat candy like Harry Potter ate that she tried the vomit, earwax and soap flavors and giggled her way through every disgusting moment of the assault on her poor little taste buds.
5;My favorite bagged tea...;This is by far and away, the best bagged tea I've ever had. It's extremely smooth and there is no aftertaste that I can detect.
5;Great Taste!;I hate the original green tea but this one is Exceptional! Great taste! No bitter taste, very sweet. You won't regret getting a full box.
5;The BEST POPCORN ever;This the very rich and cheesy popcorn.  I love cheese popcorn and have tried many different kinds but this is the best popcorn by far.
5;oatmeal squares;The perfect cereal for starting your day. Not too high is sugar, healthy, add bananas, raspberries, raisins etc.
5;Nice coffee from around the world;Just got this the other day.  Nice sampler, coffee from many different countries, no blends, just beans from the area.
5;Great flavor without all the sweeteners!!;It's amazing how difficult it is to find a beverage other than water that tastes good without all the sweetness!  I'm too lazy to brew my own tea, so this stuff is perfect!  And it doesn't have a funky flavor like other brands that I've tried.  It's just not easy to find.
5;Wonderful;I was given one of these bars by a friend and began ordering them by the box the next day!  I have an extremely sensitive stomach, and they are a great source of energy for me.  Eating one at the first pangs of hunger buys me a hour before I need a real meal, which is a life saver.
5;DASQUIN FOR DOGS;Good product, helps especially older dogs with joint problems, my 14 year old lab-Rottie was not walking because of hip pain..
5;Perfect Pasta;After being diagnosed with Celiac, I tried many, many brands of pasta. They were all a disappointment.
5;Makes a Great PBJ Sandwich!;So good..
5;Grove Square Hot Cocoa For Keurig;This is the best Hot Cocoa product I have found for the Keurig K-cup Brewer. The others I have tried do not have the test or alot of the product remains in the cup.
2;Funny Aftertaste;I bought these knowing they probably wouldn't be great quality, and I was right. They're not horrible, and going down they taste okay.
5;Pretty good;My son never ate any of these kind of foods. Started with this & he is doing good with these packs.
1;CHECK THE EXPIRATION DATE;"I utilized Amazon's ""Subscribe and Save"" option.  The first time I made the rice, it didn't taste the same as the store bought rice."
4;very strong tea;If you like strong tea (sergeant majors tea where the spoon stands up on its own) you'll like this stuff..
5;Hard to find;I have a specific dish that needs the Golden Onion Recipe specifically and the supermarkets don't seem to carry it though they carry the other Lipton products.<br /><br />It is a lighter color, and seems slightly less salty, than the regular Lipton Onion Recipe.
